MERCHANT_ID,MERCHANT_NAME,COUSINE_TYPE
b60bff0f-26f7-4519-82e9-66f6a809b323,Japones Margarida,Japones
ad7b6967-ab40-43bc-bc0f-1db64b97e767,Marmita Oliver,Marmita
6c463ce6-2e5c-4bf3-80f7-1750ba704278,Italiano Batista,Italiano
48696bce-ad2e-455d-bdd2-1983fa2cbdb4,Japones Baltazar,Japones
6e99e57d-002e-4c5b-b7cc-8e4c97d444ae,Italiano Luzia,Italiano
539ca9c3-706f-44af-9037-3188e989e376,Japones Roberto,Japones
45ead076-f1b7-4622-8dbb-5bcd09330756,Italiano Luzinete,Italiano
12c9aa32-5aaa-4cc0-901e-5f9f7b2ed0c9,Marmita Ricardo,Marmita
1ee45413-797e-4e8b-8c8b-9aa096f31c27,Marmita Bartolomeu,Marmita
8e290add-8b42-4cd5-ac99-bf3cbc7e3748,Japones Iago,Japones
e1c6a4bb-0a7c-41fa-8301-29654598cc49,Marmita Jacinto,Marmita
c483348a-de79-4da4-90ad-fd21e94bd380,Pizzaria Clara,Pizzaria
f4290eb2-8a6e-448a-bdd1-3c0e611171c1,Italiano Josilda,Italiano
599ab37f-f8d1-42be-addc-0f39f948a7d5,Pizzaria Davi,Pizzaria
8ede0e42-72e5-4af5-9209-a497e4a6859e,Japones Edilene,Japones
ef489a89-c372-4867-bf80-a8c3d68573e0,Pizzaria Eduarda,Pizzaria
5d782d7c-103c-486c-ae2e-fbdae9847eb1,Japones Maria,Japones
9d856ffa-551f-4345-8ae8-11bc9d6f809f,Hamburgeria Robson,Hamburgeria
c306a9a9-30c3-4b8e-8fb2-6d27f1ce8091,Japones Lana,Japones
c08335e3-fb70-45b4-85c2-efd0e4c2b8a9,Pizzaria Otto,Pizzaria
d07ecd16-b84b-40a2-af35-76cfd0a200d2,Italiano Valeska,Italiano
db398010-3dbb-439d-bd2c-60c55245f175,Marmita Bella,Marmita
c0345363-0541-43aa-badc-0cac54234f62,Marmita Décio,Marmita
a12c8aeb-388a-4253-bb64-b680811ac394,Japones Martin,Japones
0bc847ae-ebea-48f3-a661-adf136d847f6,Pizzaria Igor,Pizzaria
bc19e3ca-89b4-4eb4-b63f-6d5622f2025b,Pizzaria Zuleide,Pizzaria
ceb9b4db-a5b2-4daa-99b6-f33df3ab2ea0,Pizzaria Ingrid,Pizzaria
591df3dc-fce6-4f19-b94d-c33016538cfb,Pizzaria Olímpia,Pizzaria
690a2f86-39ee-4245-aee8-7da3dc8fbff7,Marmita Janaína,Marmita
827a14ee-0d36-4d61-afa0-ee938be0fc18,Hamburgeria Felícia,Hamburgeria
91b9679a-a99d-418f-993f-d89fbc179f62,Italiano Carolina,Italiano
10391a64-b246-4469-846d-3982bf7c74f3,Japones Micael,Japones
b47e6a9d-db83-4423-b909-89d35bf0dcbe,Marmita Laércio,Marmita
1383d8d4-4e59-4bc5-bee3-b0258c4a8beb,Japones Felipe,Japones
309c5cb4-0a48-4bd4-ad52-d21ed687ece5,Italiano Michel,Italiano
212724ab-ea92-4d15-baea-1bcec78a9846,Hamburgeria Genir,Hamburgeria
1a8298d4-21a4-405a-bf22-198d69f48ac2,Japones Thiago,Japones
bd23a503-aa68-409c-962d-79c83d197111,Marmita Jéssica,Marmita
3e2da036-e068-4e29-a964-275ff965b658,Hamburgeria Thaís,Hamburgeria
d74797b9-0b16-481e-89c9-4593a39f7d54,Japones Pedro,Japones
4624ed0c-6767-4983-ac02-b3b6504fc80e,Pizzaria Ramon,Pizzaria
3983298e-b8a4-49dc-b8f9-4e878b486556,Hamburgeria Zeca,Hamburgeria
80ea80a4-2e41-4b3c-a80c-288cd8add642,Hamburgeria Sandro,Hamburgeria
b00dd772-362d-4cdc-ad6f-56a59d835398,Pizzaria Maria,Pizzaria
6b0ab58f-dbd2-4b30-94e3-483561cd8819,Japones Rosimeire,Japones
64ab8ea2-f78c-44db-9ac5-196cb2e71af3,Hamburgeria Josiane,Hamburgeria
76500aa3-acd4-43a7-9ab7-0038d0a33470,Italiano Martin,Italiano
d904cc17-7818-4020-bad1-25ed36d0ea4d,Japones Samila,Japones
2e6c95ed-9f05-431a-a761-6bd345058199,Japones Clotilde,Japones
246ac1be-905e-4aa2-8a80-2b9ed4686cd3,Marmita Eliane,Marmita
d09e2b1e-4aed-4a36-ba20-39ceaac8db21,Hamburgeria Laís,Hamburgeria
6231a649-6b69-4905-b2b2-540dd110e87d,Hamburgeria Mariana,Hamburgeria
644e3df6-8974-4518-80ef-ecc0be6e160e,Marmita Lúcia,Marmita
aa717017-2123-4d92-b49a-63dbcdb07353,Pizzaria Maria,Pizzaria
ac49ade0-6687-4167-a497-f11575c2fcab,Hamburgeria Luke,Hamburgeria
df738084-2985-478e-ac1d-4bb4cc87903e,Japones Walderice,Japones
9b1f630e-ae68-412c-9c8d-b6b160500525,Hamburgeria Davi,Hamburgeria
6c10fe9d-c7ee-4cc4-9b94-e4abe9bd7262,Marmita Monique,Marmita
8ce0b583-dc99-430a-bc46-1cbbc95611c2,Japones Quitéria,Japones
9d3694c5-4415-47b2-b17d-a7d0e9f389f4,Hamburgeria Taís,Hamburgeria
f286b0f8-0be7-4d79-a5e4-398a7f649866,Pizzaria Túlio,Pizzaria
1ba9f3f9-410c-4c81-a534-2b1438ec6ef2,Japones Luiza,Japones
0f89cfaa-ff66-49c6-b0c7-71ea933320c1,Marmita Larissa,Marmita
b9dfdb53-733e-4145-baa6-839e2242e387,Pizzaria Félix,Pizzaria
7291ff14-e98c-416b-b821-594a1f5360b7,Pizzaria Elói,Pizzaria
12c126fe-65c5-462c-8bca-491c254d501a,Japones Marli,Japones
7e3e426c-c5a3-42d2-aa3c-22431c5ebaae,Marmita Wellington,Marmita
a8db756c-0d8b-42fc-8e99-85637b00beec,Marmita Júlio,Marmita
85d58a0c-3f7b-44fe-8c74-673c56ebc00d,Hamburgeria Geraldo,Hamburgeria
8b8009c2-700d-4a2b-af25-78de31462ec3,Italiano Xavier,Italiano
79046d30-ded1-490a-8c51-9cfd550a72d8,Marmita Bruno,Marmita
bd1c2bd3-25c9-45d3-90a9-eab2f2dc190a,Hamburgeria Raiane,Hamburgeria
5dd80614-0739-4a6e-a9f8-7f159c748c2d,Hamburgeria Berenice,Hamburgeria
43e9327c-a8d8-4585-b67e-41a185c906ad,Hamburgeria Jéssica,Hamburgeria
d9fce078-4dca-493f-a010-ab4df344841f,Pizzaria Jair,Pizzaria
c986afcc-63ac-4b0d-8927-1fb5057df960,Marmita Rute,Marmita
b189850f-94fa-4281-99f3-754e1300bf93,Italiano Marlon,Italiano
e0c8168d-fee8-4b0f-9af1-2b611a10e4dc,Italiano Jorge,Italiano
c664559a-92fb-42b5-a8f1-cc58e18d5235,Hamburgeria Michel,Hamburgeria
a6df174a-5268-4e8f-b38a-28ac7a9d55b2,Pizzaria Lili,Pizzaria
4fef6d92-51a6-4305-b578-e4f0f3826c52,Japones Angélica,Japones
aee4cdfc-730c-48f4-a19c-135156fe80b5,Marmita Damares,Marmita
fbbc2bea-c52a-4d15-86a2-8386a7763acb,Marmita Cíntia,Marmita
93f68d03-62e6-4b9f-808b-5f2f1e793bff,Marmita Itamara,Marmita
2630f243-da31-49dc-bf1b-11a488af266d,Hamburgeria Fred,Hamburgeria
09badead-b841-439e-acb3-366743df1d85,Italiano Marcela,Italiano
17a7e860-1966-4e23-aac7-47b02ca6ad83,Japones Bianca,Japones
4ac90d75-c302-49f2-846c-b5148f60447d,Pizzaria Cauê,Pizzaria
