MERCHANT_ID,MERCHANT_NAME,COUSINE_TYPE
23debc75-d470-4358-bfbd-c3776c0a7359,Marmita Itamar,Marmita
873d3f19-51b0-4554-9cbe-47af4ff2a370,Japones Bartolomeu,Japones
16c3f560-7de2-4cb4-ac17-191dc211026c,Marmita Marta,Marmita
487bae78-0296-4e36-8871-5742203b877c,Japones Albino,Japones
66a2c3fc-4f34-4c6c-8330-48d7793549d2,Pizzaria Ivan,Pizzaria
f5496fe3-08a3-4396-8416-98bd3889b3dd,Hamburgeria Albano,Hamburgeria
c6cc069a-89c9-4b1a-b2b0-b05ba3386120,Marmita Quênia,Marmita
596e1795-e11f-4352-b87b-af22a305d6c3,Japones Soraya,Japones
71d800e5-fabe-475a-a72d-c3be673b758f,Pizzaria Amália,Pizzaria
2615fba5-e6c9-493a-8e19-45aa06cbff01,Marmita Davi,Marmita
7f85e4e9-c06a-4b02-9a61-f6d74ba17a63,Italiano Ricardo,Italiano
45dd9a62-6ad7-4b6b-90ba-d0eb8214cc31,Italiano Milton,Italiano
7df5600f-4fef-4d01-b876-b1b86ed81c1d,Marmita Benedito,Marmita
3e1f24fa-d6be-49ea-8c2a-35dd47eaab2c,Pizzaria Severino,Pizzaria
246ca79d-8a46-45bf-b595-1a4f1ac8a32e,Marmita Jandira,Marmita
897e6a5e-1c64-4bc9-9917-1722ee5e5c61,Pizzaria Hilton,Pizzaria
2fb53ad2-e684-49d5-94ad-0da1192defc0,Hamburgeria Paula,Hamburgeria
c92e63b1-7a83-4cf9-bce5-c9168eeee4bb,Hamburgeria Jason,Hamburgeria
a922b3b5-a82b-4e10-8e31-8b2fe1c9db50,Italiano José,Italiano
e8023aee-2b3a-4865-8bc1-956be5fa4d32,Japones Bartolomeu,Japones
1f59cc34-d4a4-4ef3-8d66-b1d0a50d9396,Italiano Luke,Italiano
242fcfac-210f-4eef-b923-ecb3baf791a9,Pizzaria Marco,Pizzaria
cd32cc85-fb1c-4844-9ff1-d8bd26ba519c,Japones Violeta,Japones
8cc9c2f2-18bd-4c8e-b197-cecd44c6e5b8,Pizzaria Lena,Pizzaria
c33f227b-c2b7-4f96-bf7d-c4277983fe83,Hamburgeria Nathan,Hamburgeria
2171261a-ae9b-4556-812b-61755f02b865,Marmita Clara,Marmita
b35d975f-94df-4fe6-98fe-9a60832b35d1,Marmita Quitéria,Marmita
b06ff213-79a0-45b5-80f1-1edde10a2b3d,Marmita Paula,Marmita
16023396-a363-475c-8553-97b225c309f9,Marmita Ricardo,Marmita
00bee1d2-b902-4540-994e-a42808c7188f,Italiano André,Italiano
30778ab6-c45f-4c37-9d75-17ff6c446444,Italiano Monique,Italiano
1b071081-ba3e-4186-918e-ae98e5769b1a,Marmita Larissa,Marmita
389071fe-379e-41d2-9277-c6975837be49,Japones Flaviana,Japones
4e5abada-f816-4cc8-ab81-d51013fbb9d0,Marmita Ismael,Marmita
e46a37cb-d402-49bf-96c1-d3e9d39b2a16,Marmita Elisângela,Marmita
c8f314d5-8af8-4fa2-98d6-0b1e570cc083,Marmita Eliel,Marmita
8a49e9aa-0b59-406a-945f-cc4ca54652a6,Italiano Vera,Italiano
0ebb6ce8-09a9-41b0-b07b-c974ee8d3dad,Pizzaria Eduarda,Pizzaria
d548f267-543f-404a-ade1-ab987e3c84b6,Italiano Vitor,Italiano
b782a6a8-2697-434f-83b7-350417ce5c38,Japones Raíssa,Japones
422bd2c9-29ee-4721-9b09-34dd6ed51c5d,Italiano Luciano,Italiano
969ea2ba-5d45-4157-bc97-8e5266298720,Hamburgeria Eliel,Hamburgeria
f2b5a765-544f-4249-9db5-8039cb82bcc1,Italiano Valéria,Italiano
194b193e-73f9-4bd8-bbd0-bfab7977d107,Japones Paulo,Japones
7b10872f-e581-49e4-a468-c80e728fa595,Marmita Sheila,Marmita
35f9ad5b-a186-4f44-aab2-c664fda6c549,Italiano Augusto,Italiano
e819d0af-dcaf-4a9e-b067-9d4352059df8,Japones Manuel,Japones
b9baec08-3188-417d-9f00-3e32921183ff,Pizzaria Márcio,Pizzaria
385cde63-3241-43c0-bd34-1c2b46009610,Italiano Úrsula,Italiano
0ed13759-b341-4009-866a-9765ddf14bf3,Marmita Severino,Marmita
11fe2b74-b400-4cdd-97a8-9e6967b35e9e,Marmita Tábata,Marmita
9b912119-9b1a-43d5-9f05-d87b3215715b,Italiano Edilene,Italiano
c61e48c5-5086-4fc2-9f7a-eb33f5371386,Marmita Alan,Marmita
76cebcec-a0eb-43e9-9a97-83cdc209eeb0,Marmita Terezinha,Marmita
f732c07a-1b9b-4dc2-a8c9-a67f4c744271,Japones Isac,Japones
f5bda11c-5dcc-4027-9ed4-435764287875,Marmita Marciano,Marmita
2d218d82-3b25-451f-91a9-7874a33bad0a,Marmita Breno,Marmita
b4711682-5484-43b1-b6c1-d7c8a60bf3e5,Italiano Lara,Italiano
